CD_CVM,DENOM_CIA,EBIT,DESPESA_FINANCEIRA,RECEITA,LUCRO_LIQUIDO,DIVIDA_BRUTA,ATIVO_TOTAL,CAIXA,CAIXA_OPERACIONAL,ANO,DESPESA_FINANCEIRA_ABS,DIVIDA_LIQUIDA,DT_REFER,DT_RECEB
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,137286000.0,0.0,1076918000.0,51566000.0,605511000.0,2209426000.0,73165000.0,161189000.0,2018,0.0,532346000.0,2018-12-31,2019-03-19
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,142656000.0,0.0,1072865000.0,50073000.0,614769000.0,2401121000.0,88301000.0,213410000.0,2019,0.0,526468000.0,2019-12-31,2020-03-17
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,-9123000.0,0.0,928787000.0,-92431000.0,793839000.0,2540602000.0,229087000.0,117864000.0,2020,0.0,564752000.0,2020-12-31,2021-03-17
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,88174000.0,0.0,1136572000.0,1988000.0,777986000.0,2542229000.0,127310000.0,149128000.0,2021,0.0,650676000.0,2021-12-31,2022-03-16
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,-32037000.0,0.0,1085009000.0,-219243000.0,1034957000.0,2615454000.0,218744000.0,187303000.0,2022,0.0,816213000.0,2022-12-31,2023-03-23
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,38901000.0,0.0,1179584000.0,-218559000.0,1045282000.0,2669811000.0,218595000.0,102304000.0,2023,0.0,826687000.0,2023-12-31,2025-04-15
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,113009000.0,0.0,1216992000.0,-111202000.0,721713000.0,2889222000.0,114972000.0,-41021000.0,2024,0.0,606741000.0,2024-12-31,2025-04-15
25330,ALLIED TECNOLOGIA S.A.,179613000.0,-80099000.0,3711271000.0,100630000.0,502247000.0,3178916000.0,292268000.0,25702000.0,2019,80099000.0,209979000.0,2019-12-31,2020-09-17
25330,ALLIED TECNOLOGIA S.A.,270385000.0,-89640000.0,4722413000.0,167645000.0,443366000.0,3715984000.0,382314000.0,326763000.0,2020,89640000.0,61052000.0,2020-12-31,2021-03-01
25330,ALLIED TECNOLOGIA S.A.,407510000.0,-123375000.0,5738533000.0,288231000.0,395841000.0,4528962000.0,733966000.0,124219000.0,2021,123375000.0,-338125000.0,2021-12-31,2022-04-27
25330,ALLIED TECNOLOGIA S.A.,207409000.0,-195516000.0,5127781000.0,76146000.0,629580000.0,3688953000.0,141942000.0,2100537000.0,2022,195516000.0,487638000.0,2022-12-31,2023-03-21
25330,ALLIED TECNOLOGIA S.A.,216635000.0,-162415000.0,5854915000.0,122444000.0,543713000.0,3395751000.0,535620000.0,2110635000.0,2023,162415000.0,8093000.0,2023-12-31,2024-03-21
25330,ALLIED TECNOLOGIA S.A.,188839000.0,-139922000.0,5521381000.0,145532000.0,505728000.0,3480239000.0,427961000.0,1299080000.0,2024,139922000.0,77767000.0,2024-12-31,2025-03-26
25330,ALLIED TECNOLOGIA S.A.,503782000.0,-135514000.0,5504620000.0,332712000.0,416452000.0,3369335000.0,375871000.0,2179430000.0,2025,135514000.0,40581000.0,2025-12-31,2026-03-25
20850,ALLIS PARTICIPAÇÕES S.A.,4822000.0,-9754000.0,297889000.0,-8640000.0,33444000.0,168467000.0,27110000.0,-6660000.0,2013,9754000.0,6334000.0,2013-12-31,2014-03-24
20850,ALLIS PARTICIPAÇÕES S.A.,7624000.0,-10144000.0,302197000.0,4155000.0,37097000.0,135006000.0,10822000.0,-16562000.0,2014,10144000.0,26275000.0,2014-12-31,2015-03-20
